outfit_id	image_url	pinterest_url
O001	https://i.pinimg.com/736x/7b/f7/5a/7bf75acdc1d1c58e5ac02fac72ca62ba.jpg	https://in.pinterest.com/pin/693976623885238710/
O002	https://i.pinimg.com/1200x/dc/9b/2b/dc9b2bf3802ffb84bd73dbd46beb3862.jpg	https://in.pinterest.com/pin/4600638239268981120/
O003	https://i.pinimg.com/736x/ef/76/da/ef76daaf83ba3ec31e7d34c1d7930857.jpg	https://in.pinterest.com/pin/85286986689357206/
O004	https://i.pinimg.com/1200x/b4/92/5b/b4925bfe2292fecc75944b63fa4f9fb3.jpg	https://in.pinterest.com/pin/13792342604361494/
O005	https://i.pinimg.com/1200x/35/38/85/353885058ac47f5a8169adf9b5e06402.jpg	https://in.pinterest.com/pin/594686325839691509/
O006	https://i.pinimg.com/1200x/6a/83/93/6a8393f4aa0e8e01c93308ec8f37bd5c.jpg	https://in.pinterest.com/pin/959829739349151075/
O007	https://i.pinimg.com/736x/9d/32/14/9d3214d318c351a25e443dd413485215.jpg	https://in.pinterest.com/pin/587438345185389540/
O008	https://i.pinimg.com/736x/31/c4/01/31c401af58ca337fa47c1b374dfef5eb.jpg	https://in.pinterest.com/pin/27936460190080337/
O009	https://i.pinimg.com/1200x/da/af/37/daaf3788146f1cae3f56b73e687e6949.jpg	https://in.pinterest.com/pin/40884309113072758/
O010	https://i.pinimg.com/736x/2b/9e/08/2b9e08c0389b5634382c698f64e6a51d.jpg	https://in.pinterest.com/pin/9429480465504359/
O011	https://i.pinimg.com/736x/e9/de/55/e9de55c00985341065e5a1dc54cc2c93.jpg	https://in.pinterest.com/pin/10133167906704977/
O012	https://i.pinimg.com/1200x/f6/ac/4e/f6ac4e8340b43c0c403fff51bd794fc0.jpg	https://in.pinterest.com/pin/4593742097238343808/
O013	https://i.pinimg.com/736x/19/b7/fc/19b7fc6669068f69c0b2a135a96c0842.jpg	https://in.pinterest.com/pin/335518241012918667/
O014	https://i.pinimg.com/736x/c3/f8/80/c3f88064806496953268f77dc1a4ca83.jpg	https://in.pinterest.com/pin/14847873766563502/
O015	https://i.pinimg.com/736x/3a/34/86/3a3486818b4d4d32688d0470883a638d.jpg	https://in.pinterest.com/pin/858076535296595306/
O016	https://i.pinimg.com/736x/b1/86/21/b186210bf89323b132442c625ce097ba.jpg	https://in.pinterest.com/pin/7951736838486290/
O017	https://i.pinimg.com/1200x/5c/29/87/5c29877e25b85e8a4300cba9cf514038.jpg	https://in.pinterest.com/pin/928586016946879025/
O018	https://i.pinimg.com/736x/a4/be/0b/a4be0b5b6d97f6576cff979d11d059b5.jpg	https://in.pinterest.com/pin/584905070371289084/
O019	https://i.pinimg.com/736x/ce/4d/4a/ce4d4a44feb9fbd8ea7ca67a4156b9f8.jpg	https://in.pinterest.com/pin/56717276551128432/
O020	https://i.pinimg.com/736x/fc/9b/0d/fc9b0d2d1981716a7741c50b400db0e9.jpg	https://in.pinterest.com/pin/39688040459971225/
O021	https://i.pinimg.com/1200x/e2/be/f3/e2bef3275e5fddee6ef0b7d13411718e.jpg	https://in.pinterest.com/pin/154177987485529250/
O022	https://i.pinimg.com/1200x/11/30/d8/1130d8b84fab43b53138e08c199d6fe3.jpg	https://in.pinterest.com/pin/523332419221128043/
O023	https://i.pinimg.com/1200x/b5/27/e3/b527e3129dc9014650816a766a655761.jpg	https://in.pinterest.com/pin/833377106091539443/
O024	https://i.pinimg.com/736x/d1/b1/b6/d1b1b6cf26d798f6fdb400563749b197.jpg	https://in.pinterest.com/pin/42221315252763965/
O025	https://i.pinimg.com/736x/8a/2f/72/8a2f72a0aa757997b55496df9f6472c3.jpg	https://in.pinterest.com/pin/4599230846471291008/
O026	https://i.pinimg.com/1200x/ab/db/30/abdb3076e7dd1a0a31ab0a04ef3c04ca.jpg	https://in.pinterest.com/pin/4595430911874071680/
O027	https://i.pinimg.com/736x/41/57/e8/4157e81791ac50bba198118b740d26b2.jpg	https://in.pinterest.com/pin/449023025370432484/
O028	https://i.pinimg.com/736x/a0/b1/4d/a0b14d9bdd492b19da9c60e34c74a7cf.jpg	https://in.pinterest.com/pin/27162403996688662/
O029	https://i.pinimg.com/1200x/b2/c7/60/b2c76014da9b0b9b61df114313cd012d.jpg	https://in.pinterest.com/pin/9218374230644078/
O030	https://i.pinimg.com/736x/55/49/1d/55491d57362a0961a711c77de64e0d7d.jpg	https://in.pinterest.com/pin/6333255724612615/
